X studied variable,Y studied variable,Computed marginal EPMF of X,Computed marginal EPMF of Y,Chi2,Chi2 p-value,Information entropy of X,Information entropy of Y,Joint information entropy of X and Y ,Conditional information entropy of Y given X,Conditional information entropy of X given Y,Mutual information of X and Y,Normalized mutual information of X and Y
2,3,2,2,465.908201499521,0.0,0.20189708809153545,0.5156865315218879,0.7050760769155947,0.18938954539370673,0.5031789888240592,0.012507542697828722,0.03876270464521411
2,4,2,2,1257.3968905041243,0.0,0.20189708809153534,0.6801764621559055,0.8532480187564029,0.17307155660049728,0.6513509306648674,0.02882553149103828,0.07778601026191977
2,5,2,2,2105.0485456927945,0.0,0.20189708809153534,0.6886051523183013,0.8482494030745467,0.15964425075624528,0.6463523149830113,0.04225283733529017,0.1133197782892759
2,6,2,2,1653.9619691901785,0.0,0.20189708809153534,0.6928334064309015,0.8592284074957177,0.1663950010648162,0.6573313194041823,0.0355020870267192,0.09492365378267306
2,7,2,2,744.5177068136425,0.0,0.20189708809153545,0.6106855744048897,0.7937684835105888,0.18308290910569913,0.5918713954190533,0.01881417898583637,0.05358107381802295
2,8,2,389,1593.6304420410477,0.0,0.20189708809153775,3.792792150008801,3.970016526848343,0.17722437683954403,3.7681194387568295,0.02467271125196957,0.02819501479428037
2,9,2,389,1593.6304420410436,0.0,0.20189708809153722,3.7927921500088035,3.970016526848346,0.17722437683954406,3.7681194387568255,0.024672711251976676,0.028195014794288518
2,10,2,1448,3811.9682992097933,0.0,0.20189708809154558,5.797659709576215,5.952432224759972,0.15477251518389418,5.750535136668635,0.04712457290744343,0.04355680734107177
3,3,2,2,32256.000000000004,0.0,0.5156865315218879,0.5156865315218879,0.5156865315218879,0.0,0.0,0.5156865315218879,1.0
3,4,2,2,11951.942191890808,0.0,0.5156865315218879,0.6801764621559055,0.9710401714711829,0.2908637093152774,0.4553536399492951,0.22482282220661043,0.379609175662248
3,5,2,2,7139.1868744872845,0.0,0.5156865315218879,0.6886051523183013,1.05379290415052,0.36518775183221874,0.5381063726286321,0.15049877968966918,0.2525544063646521
3,6,2,2,2517.0134989779494,0.0,0.5156865315218879,0.6928334064309015,1.1674490744908579,0.47461566805995636,0.6517625429689698,0.04107086346193167,0.06871104111273123
3,7,2,2,9134.850233536721,0.0,0.5156865315218879,0.6106855744048897,0.9934281386565578,0.38274256425166797,0.47774160713466995,0.13294396727021984,0.2369010085713944
3,8,2,389,2387.8834357662336,0.0,0.5156865315218897,3.792792150008801,4.2729629063114585,0.4801707563026545,3.757276374789568,0.0355157752192361,0.025395038905818016
3,9,2,389,2387.8834357662354,0.0,0.5156865315218897,3.7927921500088035,4.272962906311457,0.4801707563026545,3.7572763747895683,0.03551577521923388,0.025395038905816417
3,10,2,1448,6849.8766429706,0.0,0.5156865315218928,5.797659709576215,6.217232768699047,0.4195730591227297,5.701546237176998,0.09611347239931955,0.05558594748847379
4,4,2,2,32255.999999999993,0.0,0.6801764621559055,0.6801764621559055,0.6801764621559055,0.0,0.0,0.6801764621559055,1.0
4,5,2,2,19267.296321070233,0.0,0.6801764621559057,0.6886051523183013,0.9863475031573146,0.29774235083901324,0.30617104100140896,0.38243411131689237,0.5588055218665169
4,6,2,2,226.3083991262983,0.0,0.6801764621559057,0.6928334064309015,1.369495687095946,0.6766622806650443,0.6893192249400402,0.0035141814908615787,0.005119163228445844
4,7,2,2,867.5026451912399,0.0,0.6801764621559057,0.6106855744048897,1.2775133720346734,0.6668277976297836,0.5973369098787678,0.013348664526122045,0.02071181644632691
4,8,2,389,1417.564676624478,0.0,0.6801764621559064,3.7927921500088013,4.449592653293059,0.6568005032842528,3.7694161911371395,0.023375958871666214,0.01455389084340278
4,9,2,389,1417.5646766244786,0.0,0.6801764621559059,3.7927921500088035,4.44959265329306,0.6568005032842527,3.769416191137143,0.023375958871663993,0.014553890843401397
4,10,2,1448,4039.819472863048,0.0,0.6801764621559104,5.797659709576215,6.407054945608354,0.6093952360321133,5.726878483452595,0.07078122612364535,0.03564354749538383
5,5,2,2,32255.999999999993,0.0,0.6886051523183013,0.6886051523183013,0.6886051523183013,0.0,0.0,0.6886051523183013,1.0
5,6,2,2,1052.0071840740727,0.0,0.6886051523183014,0.6928334064309015,1.3650281629251155,0.6721947564942138,0.6764230106068139,0.016410395824087876,0.023758527064609385
