"","Dept","CF8pm","CF6pm","Mask_transp","Mask_Closed","Mask_business","NSE","Lockdown","ICU_adm","ICU_adm_conso","Hospit","R.t.Mean"
"21846",55,0,0,1,1,1,0,0,1,0.001169591,20,1.457461638
"21847",56,0,0,1,1,1,0,0,5,0.005847953,71,1.603346773
"21848",57,0,0,1,1,1,0,0,12,0.014035088,62,1.387221019
"21849",58,0,0,1,1,1,0,0,3,0.003508772,13,1.309007579
"21850",59,0,0,1,1,1,0,0,93,0.10877193,554,1.728441961
"21851",60,0,0,1,1,1,0,0,15,0.01754386,122,1.988339402
"21852",61,0,0,1,1,1,0,0,3,0.003508772,24,1.547301287
"21853",62,0,0,1,1,1,0,0,26,0.030409357,190,2.07154196
"21854",63,0,0,1,1,1,0,0,10,0.011695906,85,1.839385755
"21855",64,0,0,1,1,1,0,0,8,0.009356725,59,1.28655087
"21856",65,0,0,1,1,1,0,0,3,0.003508772,15,1.242526313
"21857",66,0,0,1,1,1,0,0,7,0.008187135,31,1.186272653
"21858",67,0,0,1,1,1,0,0,11,0.012865497,56,0.726059955
"21859",68,0,0,1,1,1,0,0,4,0.004678363,31,1.79701927
"21860",69,0,0,1,1,1,0,0,97,0.113450292,518,1.69860217
"21861",70,0,0,1,1,1,0,0,1,0.001169591,15,1.635383885
"21862",71,0,0,1,1,1,0,0,9,0.010526316,85,1.523213161
"21863",72,0,0,1,1,1,0,0,2,0.002339181,53,1.362386383
"21864",73,0,0,1,1,1,0,0,4,0.004678363,42,1.572860555
"21865",74,0,0,1,1,1,0,0,5,0.005847953,46,1.219678823
"21866",75,0,0,1,1,1,0,0,134,0.156725146,592,2.774926405
"21867",76,0,0,1,1,1,0,0,34,0.039766082,217,1.918971643
"21868",77,0,0,1,1,1,0,0,47,0.05497076,161,1.238468271
"21869",78,0,0,1,1,1,0,0,35,0.040935673,269,1.2808584
"21870",79,0,0,1,1,1,0,0,1,0.001169591,6,1.507847396
"21871",80,0,0,1,1,1,0,0,14,0.016374269,67,1.487451833
"21872",81,0,0,1,1,1,0,0,7,0.008187135,64,1.271032011
"21873",82,0,0,1,1,1,0,0,8,0.009356725,28,1.159119702
"21874",83,0,0,1,1,1,0,0,15,0.01754386,67,1.491147598
"21875",84,0,0,1,1,1,0,0,11,0.012865497,119,1.864253852
"21876",85,0,0,1,1,1,0,0,4,0.004678363,20,1.44996475
"21877",86,0,0,1,1,1,0,0,1,0.001169591,8,1.838482524
"21878",87,0,0,1,1,1,0,0,2,0.002339181,43,1.284277019
"21879",88,0,0,1,1,1,0,0,2,0.002339181,7,1.165968421
"21880",89,0,0,1,1,1,0,0,4,0.004678363,24,1.284722887
"21881",90,0,0,1,1,1,0,0,5,0.005847953,17,1.605268182
"21882",91,0,0,1,1,1,0,0,54,0.063157895,227,1.320733262
"21883",92,0,0,1,1,1,0,0,76,0.088888889,418,1.255595343
"21884",93,0,0,1,1,1,0,0,75,0.087719298,474,1.473439883
"21885",94,0,0,1,1,1,0,0,68,0.079532164,392,1.353924612
"21886",95,0,0,1,1,1,0,0,35,0.040935673,196,1.334075794
"21887",201,0,0,1,1,1,0,0,6,0.007017544,9,1.310035299
"21888",202,0,0,1,1,1,0,0,6,0.007017544,22,1.330063481
"21889",1,0,0,1,1,1,0,0,8,0.009356725,45,1.784136463
"21890",2,0,0,1,1,1,0,0,7,0.008187135,65,1.626563913
"21891",3,0,0,1,1,1,0,0,5,0.005847953,61,2.027638179
"21892",4,0,0,1,1,1,0,0,4,0.004678363,17,1.706462982
"21893",5,0,0,1,1,1,0,0,3,0.003508772,35,3.577158551
"21894",6,0,0,1,1,1,0,0,26,0.030409357,156,1.775712477
"21895",7,0,0,1,1,1,0,0,5,0.005847953,33,2.387829235
"21896",8,0,0,1,1,1,0,0,5,0.005847953,14,2.313406747
"21897",9,0,0,1,1,1,0,0,6,0.007017544,15,1.430313176
"21898",10,0,0,1,1,1,0,0,3,0.003508772,27,1.826990216
"21899",11,0,0,1,1,1,0,0,5,0.005847953,15,1.556726237
"21900",12,0,0,1,1,1,0,0,3,0.003508772,30,1.370705389
"21901",13,0,0,1,1,1,0,0,145,0.169590643,603,1.267086669
"21902",14,0,0,1,1,1,0,0,18,0.021052632,66,1.497417204
"21903",15,0,0,1,1,1,0,0,4,0.004678363,41,2.602130947
"21904",16,0,0,1,1,1,0,0,2,0.002339181,4,1.221851753
"21905",17,0,0,1,1,1,0,0,4,0.004678363,29,1.235701503
"21906",18,0,0,1,1,1,0,0,3,0.003508772,28,1.587434488
"21907",19,0,0,1,1,1,0,0,3,0.003508772,19,1.721891949
"21908",21,0,0,1,1,1,0,0,12,0.014035088,52,1.470276608
"21909",22,0,0,1,1,1,0,0,2,0.002339181,19,1.559741222
"21910",23,0,0,1,1,1,0,0,2,0.002339181,5,1.70748111
"21911",24,0,0,1,1,1,0,0,1,0.001169591,20,1.528299585
"21912",25,0,0,1,1,1,0,0,6,0.007017544,24,1.44703077
"21913",26,0,0,1,1,1,0,0,12,0.014035088,62,1.423698891
"21914",27,0,0,1,1,1,0,0,6,0.007017544,82,1.412258879
"21915",28,0,0,1,1,1,0,0,9,0.010526316,48,1.473734183
"21916",29,0,0,1,1,1,0,0,3,0.003508772,26,1.199706222
"21917",30,0,0,1,1,1,0,0,23,0.026900585,95,1.65175441
"21918",31,0,0,1,1,1,0,0,44,0.051461988,154,2.341701282
"21919",32,0,0,1,1,1,0,0,2,0.002339181,20,1.260250095
"21920",33,0,0,1,1,1,0,0,28,0.032748538,186,1.162430391
"21921",34,0,0,1,1,1,0,0,42,0.049122807,171,1.138426817
"21922",35,0,0,1,1,1,0,0,15,0.01754386,86,0.985633296
"21923",36,0,0,1,1,1,0,0,5,0.005847953,15,1.434955906
"21924",37,0,0,1,1,1,0,0,13,0.015204678,41,1.04802288
"21925",38,0,0,1,1,1,0,0,36,0.042105263,242,1.603876583
"21926",39,0,0,1,1,1,0,0,1,0.001169591,23,1.383460743
"21927",40,0,0,1,1,1,0,0,4,0.004678363,40,1.569306154
"21928",41,0,0,1,1,1,0,0,0,0,17,2.009104172
"21929",42,0,0,1,1,1,0,0,49,0.057309942,307,2.154159135
"21930",43,0,0,1,1,1,0,0,2,0.002339181,18,1.155231314
"21931",44,0,0,1,1,1,0,0,13,0.015204678,95,1.674227015
"21932",45,0,0,1,1,1,0,0,18,0.021052632,62,0.884319465
"21933",46,0,0,1,1,1,0,0,2,0.002339181,5,1.312374071
"21934",47,0,0,1,1,1,0,0,5,0.005847953,24,1.45060765
"21935",48,0,0,1,1,1,0,0,0,0,13,1.052144488
"21936",49,0,0,1,1,1,0,0,13,0.015204678,65,1.216361425
"21937",50,0,0,1,1,1,0,0,3,0.003508772,25,1.692330413
"21938",51,0,0,1,1,1,0,0,16,0.01871345,63,1.524440479
"21939",52,0,0,1,1,1,0,0,2,0.002339181,23,1.806538369
"21940",53,0,0,1,1,1,0,0,2,0.002339181,15,1.256586966
"21941",54,0,0,1,1,1,0,0,9,0.010526316,61,2.125364829
"21942",55,0,0,1,1,1,0,0,1,0.001169591,21,1.456385809
"21943",56,0,0,1,1,1,0,0,5,0.005847953,70,1.554745041
"21944",57,0,0,1,1,1,0,0,12,0.014035088,61,1.350906011
"21945",58,0,0,1,1,1,0,0,4,0.004678363,15,1.352670828
"21946",59,0,0,1,1,1,0,0,104,0.121637427,587,1.735221443
"21947",60,0,0,1,1,1,0,0,18,0.021052632,128,2.116414799
"21948",61,0,0,1,1,1,0,0,4,0.004678363,24,1.518691314
"21949",62,0,0,1,1,1,0,0,24,0.028070175,192,1.932147799
"21950",63,0,0,1,1,1,0,0,11,0.012865497,86,1.647748458
"21951",64,0,0,1,1,1,0,0,9,0.010526316,60,1.335357616
"21952",65,0,0,1,1,1,0,0,2,0.002339181,14,1.239474865
"21953",66,0,0,1,1,1,0,0,8,0.009356725,34,1.188517176
"21954",67,0,0,1,1,1,0,0,14,0.016374269,68,0.809300275
"21955",68,0,0,1,1,1,0,0,3,0.003508772,31,1.749718282
"21956",69,0,0,1,1,1,0,0,112,0.130994152,571,1.675906869
"21957",70,0,0,1,1,1,0,0,1,0.001169591,17,1.668788449
"21958",71,0,0,1,1,1,0,0,9,0.010526316,94,1.566232324
"21959",72,0,0,1,1,1,0,0,1,0.001169591,54,1.359862607
"21960",73,0,0,1,1,1,0,0,5,0.005847953,55,1.63126607
"21961",74,0,0,1,1,1,0,0,5,0.005847953,46,1.229398332
"21962",75,0,0,1,1,1,0,0,133,0.155555556,595,2.858467333
"21963",76,0,0,1,1,1,0,0,33,0.038596491,219,1.929350172
"21964",77,0,0,1,1,1,0,0,53,0.061988304,183,1.224096864
"21965",78,0,0,1,1,1,0,0,36,0.042105263,290,1.277241343
"21966",79,0,0,1,1,1,0,0,1,0.001169591,5,1.506583886
"21967",80,0,0,1,1,1,0,0,14,0.016374269,72,1.471208234
"21968",81,0,0,1,1,1,0,0,12,0.014035088,66,1.240402344
"21969",82,0,0,1,1,1,0,0,9,0.010526316,31,1.162299899
"21970",83,0,0,1,1,1,0,0,14,0.016374269,77,1.611933077
"21971",84,0,0,1,1,1,0,0,12,0.014035088,118,1.855066673
"21972",85,0,0,1,1,1,0,0,5,0.005847953,23,1.500512078
"21973",86,0,0,1,1,1,0,0,1,0.001169591,8,1.974863845
"21974",87,0,0,1,1,1,0,0,4,0.004678363,41,1.310489499
